threshold,group_col,group,n,precision,recall,f1,accuracy
0.94,sex,Female,3289,1.0,0.2615803814713896,0.4146868250539957,0.9176041349954394
0.94,sex,Male,6480,0.9923518164435946,0.2633181126331811,0.4161988773055333,0.7753086419753087
0.94,race,Amer-Indian-Eskimo,104,1.0,0.4444444444444444,0.6153846153846154,0.9519230769230769
0.94,race,Asian-Pac-Islander,304,1.0,0.2564102564102564,0.40816326530612246,0.8092105263157895
0.94,race,Black,944,1.0,0.23140495867768596,0.37583892617449666,0.9014830508474576
0.94,race,Other,69,1.0,0.36363636363636365,0.5333333333333333,0.8985507246376812
0.94,race,White,8348,0.9928952042628775,0.26380368098159507,0.4168530947054437,0.8126497364638237
0.94,age_group,65+,417,1.0,0.32989690721649484,0.49612403100775193,0.8441247002398081
0.94,education,10th,281,1.0,0.043478260869565216,0.08333333333333333,0.9217081850533808
0.94,education,11th,361,1.0,0.21052631578947367,0.34782608695652173,0.9584487534626038
0.94,education,12th,125,1.0,0.3,0.46153846153846156,0.944
0.94,education,1st-4th,34,0.0,0.0,0.0,0.9705882352941176
0.94,education,5th-6th,82,0.0,0.0,0.0,0.9146341463414634
0.94,education,7th-8th,199,1.0,0.058823529411764705,0.1111111111111111,0.9195979899497487
0.94,education,9th,145,0.0,0.0,0.0,0.9724137931034482
0.94,education,Assoc-acdm,298,1.0,0.1891891891891892,0.3181818181818182,0.7986577181208053
0.94,education,Assoc-voc,404,0.9705882352941176,0.2920353982300885,0.4489795918367347,0.7995049504950495
0.94,education,Bachelors,1646,1.0,0.2814814814814815,0.4393063583815029,0.7053462940461726
0.94,education,Doctorate,126,1.0,0.4634146341463415,0.6333333333333333,0.6507936507936508
0.94,education,HS-grad,3202,0.98989898989899,0.19103313840155944,0.3202614379084967,0.8700811992504685
0.94,education,Masters,526,0.9789473684210527,0.32517482517482516,0.4881889763779528,0.629277566539924
0.94,education,Preschool,21,0.0,0.0,0.0,0.9523809523809523
0.94,education,Prof-school,180,1.0,0.5196850393700787,0.6839378238341969,0.6611111111111111
0.94,education,Some-college,2139,1.0,0.19170984455958548,0.3217391304347826,0.8541374474053296
