threshold,group_col,group,n,selection_rate
0.94,sex,Female,3289,0.02918820310124658
0.94,sex,Male,6480,0.08070987654320988
0.94,race,Amer-Indian-Eskimo,104,0.038461538461538464
0.94,race,Asian-Pac-Islander,304,0.06578947368421052
0.94,race,Black,944,0.029661016949152543
0.94,race,Other,69,0.057971014492753624
0.94,race,White,8348,0.06744130330618112
0.94,age_group,65+,417,0.07673860911270983
0.94,education,10th,281,0.0035587188612099642
0.94,education,11th,361,0.0110803324099723
0.94,education,12th,125,0.024
0.94,education,1st-4th,34,0.0
0.94,education,5th-6th,82,0.0
0.94,education,7th-8th,199,0.005025125628140704
0.94,education,9th,145,0.0
0.94,education,Assoc-acdm,298,0.04697986577181208
0.94,education,Assoc-voc,404,0.08415841584158416
0.94,education,Bachelors,1646,0.11543134872417983
0.94,education,Doctorate,126,0.30158730158730157
0.94,education,HS-grad,3202,0.030918176139912556
0.94,education,Masters,526,0.1806083650190114
0.94,education,Preschool,21,0.0
0.94,education,Prof-school,180,0.36666666666666664
0.94,education,Some-college,2139,0.0345956054230949
