t,accuracy,f1,precision,recall,roc_auc,dp_diff_max,eqodds_diff_max
0.05,0.6899,0.6021,0.4345,0.9803,0.9321,0.7069,0.6016
0.06,0.7088,0.6158,0.45,0.9752,0.9321,0.6869,0.5694
0.07,0.7245,0.6281,0.464,0.9718,0.9321,0.6692,0.54
0.08,0.7372,0.6375,0.4759,0.9654,0.9321,0.6542,0.5179
0.09,0.749,0.647,0.4876,0.9611,0.9321,0.6425,0.5002
0.1,0.7583,0.6539,0.4974,0.9538,0.9321,0.6312,0.483
0.11,0.7654,0.6591,0.5052,0.9478,0.9321,0.6211,0.4688
0.12,0.7724,0.6643,0.5134,0.9405,0.9321,0.6121,0.4547
0.13,0.7798,0.6698,0.5224,0.9333,0.9321,0.6008,0.4412
0.14,0.7858,0.6744,0.5299,0.9273,0.9321,0.5913,0.4272
0.15,0.7934,0.6811,0.5401,0.9217,0.9321,0.5806,0.4126
0.16,0.7993,0.6858,0.5483,0.9153,0.9321,0.5715,0.3986
0.17,0.8059,0.692,0.5579,0.911,0.9321,0.5614,0.3828
0.18,0.8109,0.6958,0.5658,0.9033,0.9321,0.553,0.3719
0.19,0.8149,0.6985,0.5724,0.8956,0.9321,0.5462,0.3628
0.2,0.8197,0.7024,0.5806,0.8888,0.9321,0.5382,0.3542
0.21,0.8224,0.704,0.5856,0.8824,0.9321,0.5312,0.3451
0.22,0.8262,0.7065,0.5928,0.8743,0.9321,0.5249,0.3355
0.23,0.8299,0.7092,0.6001,0.867,0.9321,0.5177,0.3315
0.24,0.8339,0.7125,0.6081,0.8601,0.9321,0.5107,0.3282
0.25,0.8375,0.7159,0.6156,0.8554,0.9321,0.5042,0.3229
0.26,0.84,0.7174,0.6214,0.8486,0.9321,0.4999,0.3185
0.27,0.8437,0.7202,0.63,0.8405,0.9321,0.4928,0.3131
0.28,0.8461,0.722,0.636,0.8349,0.9321,0.4881,0.3099
0.29,0.8491,0.7242,0.6437,0.8276,0.9321,0.4807,0.3045
0.3,0.8521,0.7268,0.6513,0.8221,0.9321,0.4725,0.2959
0.31,0.8553,0.7295,0.6599,0.8157,0.9321,0.464,0.2905
0.32,0.8579,0.7314,0.6678,0.8084,0.9321,0.4543,0.2862
0.33,0.8594,0.7305,0.6746,0.7964,0.9321,0.444,0.3072
0.34,0.8594,0.7281,0.6775,0.787,0.9321,0.4391,0.3261
0.35,0.8615,0.7293,0.6851,0.7797,0.9321,0.4329,0.3492
0.36,0.8644,0.7318,0.6946,0.7733,0.9321,0.4236,0.346
0.37,0.8657,0.7317,0.701,0.7652,0.9321,0.4148,0.3374
0.38,0.8676,0.7336,0.7078,0.7613,0.9321,0.4107,0.3638
0.39,0.8691,0.7333,0.7155,0.7519,0.9321,0.4006,0.3552
0.4,0.8721,0.7352,0.7289,0.7417,0.9321,0.3848,0.3444
0.41,0.8729,0.7342,0.7348,0.7335,0.9321,0.3772,0.3654
0.42,0.8739,0.7339,0.7413,0.7267,0.9321,0.3683,0.3557
0.43,0.8746,0.7328,0.7477,0.7186,0.9321,0.3615,0.346
0.44,0.8763,0.7343,0.7559,0.7139,0.9321,0.3584,0.3702
0.45,0.8763,0.7316,0.7613,0.704,0.9321,0.3528,0.3616
0.46,0.8776,0.7317,0.7693,0.6976,0.9321,0.3444,0.3519
0.47,0.8784,0.731,0.7767,0.6903,0.9321,0.3368,0.3411
0.48,0.8792,0.7305,0.7838,0.6839,0.9321,0.3285,0.3314
0.49,0.8788,0.7264,0.7899,0.6724,0.9321,0.319,0.3152
0.5,0.8784,0.7228,0.7952,0.6625,0.9321,0.3121,0.3341
0.51,0.88,0.7245,0.8043,0.6591,0.9321,0.3071,0.333
0.52,0.8792,0.7204,0.8077,0.6501,0.9321,0.3017,0.3276
0.53,0.879,0.7184,0.8108,0.645,0.9321,0.2978,0.3233
0.54,0.8791,0.716,0.8177,0.6369,0.9321,0.2918,0.3465
0.55,0.8792,0.7133,0.8256,0.6279,0.9321,0.2844,0.3357
0.56,0.8777,0.7069,0.8286,0.6163,0.9321,0.2767,0.3217
0.57,0.878,0.7054,0.8355,0.6104,0.9321,0.2697,0.3119
0.58,0.8771,0.7009,0.839,0.6018,0.9321,0.2639,0.3001
0.59,0.8767,0.6973,0.8448,0.5937,0.9321,0.2577,0.2904
0.6,0.8752,0.6907,0.849,0.5821,0.9321,0.2534,0.2839
0.61,0.8746,0.6866,0.8542,0.574,0.9321,0.2476,0.2763
0.62,0.874,0.6822,0.8606,0.565,0.9321,0.2441,0.2688
0.63,0.8728,0.6752,0.8677,0.5526,0.9321,0.2371,0.2558
0.64,0.8717,0.6698,0.8723,0.5436,0.9321,0.2325,0.2494
0.65,0.8703,0.6624,0.8784,0.5317,0.9321,0.2267,0.2375
0.66,0.8696,0.6572,0.8861,0.5222,0.9321,0.2209,0.2278
0.67,0.8677,0.6481,0.8921,0.509,0.9321,0.2154,0.217
0.68,0.8669,0.6425,0.8998,0.4996,0.9321,0.2117,0.238
0.69,0.866,0.6367,0.9067,0.4906,0.9321,0.208,0.2612
0.7,0.8645,0.6293,0.9109,0.4808,0.9321,0.2022,0.2493
0.71,0.8615,0.617,0.9121,0.4662,0.9321,0.1937,0.2288
0.72,0.8601,0.6086,0.9203,0.4547,0.9321,0.1875,0.2159
0.73,0.8578,0.5984,0.9233,0.4427,0.9321,0.1824,0.2051
0.74,0.8562,0.5891,0.9315,0.4307,0.9321,0.1755,0.19
0.75,0.8536,0.5769,0.9357,0.417,0.9321,0.1693,0.176
0.76,0.8519,0.5679,0.9407,0.4068,0.9321,0.1654,0.1663
0.77,0.8512,0.562,0.9501,0.3991,0.9321,0.1596,0.1544
0.78,0.8492,0.5527,0.9529,0.3892,0.9321,0.1545,0.1425
0.79,0.8467,0.5408,0.9545,0.3772,0.9321,0.1495,0.1296
0.8,0.8453,0.5332,0.96,0.3691,0.9321,0.1454,0.1463
0.81,0.8432,0.5233,0.96,0.3597,0.9321,0.1392,0.1453
0.82,0.8415,0.5153,0.9614,0.352,0.9321,0.1342,0.1552
