threshold,group_col,group,n,precision,recall,f1,accuracy
0.35,sex, Female,3289,0.7020057306590258,0.667574931880109,0.6843575418994413,0.9312861051991487
0.35,sex, Male,6480,0.6918018412976764,0.8006088280060882,0.742238946378175,0.8308641975308642
0.35,race, Amer-Indian-Eskimo,104,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.8942307692307693
0.35,race, Asian-Pac-Islander,304,0.6666666666666666,0.8205128205128205,0.735632183908046,0.8486842105263158
0.35,race, Black,944,0.6638655462184874,0.6528925619834711,0.6583333333333333,0.913135593220339
0.35,race, Other,69,0.7777777777777778,0.6363636363636364,0.7,0.9130434782608695
0.35,race, White,8348,0.6969063545150501,0.7866918357715904,0.7390822434050099,0.859008145663632
0.35,age_group,18-25,1969,0.75,0.5142857142857142,0.6101694915254238,0.9883189436262062
0.35,age_group,26-45,4858,0.7009345794392523,0.7534775888717156,0.7262569832402235,0.8487031700288185
0.35,age_group,46-65,2581,0.6815789473684211,0.8381877022653722,0.7518142235123367,0.8012398295234405
0.35,age_group,65+,361,0.7066666666666667,0.6463414634146342,0.6751592356687898,0.8587257617728532
0.35,education, 10th,281,1.0,0.21739130434782608,0.35714285714285715,0.9359430604982206
0.35,education, 11th,361,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.961218836565097
0.35,education, 12th,125,1.0,0.5,0.6666666666666666,0.96
0.35,education, 1st-4th,34,0.0,0.0,0.0,0.9705882352941176
0.35,education, 5th-6th,82,1.0,0.14285714285714285,0.25,0.926829268292683
0.35,education, 7th-8th,199,1.0,0.4117647058823529,0.5833333333333334,0.949748743718593
0.35,education, 9th,145,0.0,0.0,0.0,0.9724137931034482
0.35,education, Assoc-acdm,298,0.6702127659574468,0.8513513513513513,0.75,0.8590604026845637
0.35,education, Assoc-voc,404,0.6618705035971223,0.8141592920353983,0.7301587301587301,0.8316831683168316
0.35,education, Bachelors,1646,0.7540983606557377,0.8859259259259259,0.8147138964577657,0.8347509113001215
0.35,education, Doctorate,126,0.7333333333333333,0.9390243902439024,0.8235294117647058,0.7380952380952381
0.35,education, HS-grad,3202,0.5766990291262136,0.5789473684210527,0.5778210116731517,0.8644597126795752
0.35,education, Masters,526,0.8065573770491803,0.8601398601398601,0.8324873096446701,0.811787072243346
0.35,education, Preschool,21,1.0,1.0,1.0,1.0
0.35,education, Prof-school,180,0.8076923076923077,0.9921259842519685,0.8904593639575972,0.8277777777777777
0.35,education, Some-college,2139,0.6016096579476862,0.7746113989637305,0.6772366930917327,0.8667601683029453
